"access_info"
"09:00-16:00/월~금, 정시"
"05:30~23:00"
"07:00~18:00"
"07:00~19:00, 상시"
"정시(월-토), 정시"
"리모델링으로 휴관중, 정시"
"6시30분~22시, 정시"
"07:00~21:00"
"00~24"
"06:00~22:00, 상시"
"05:00~00:00, 정시"
"07:00-22:30, 정시"
"05:00~23:00, 정시"
"공연시, 불규칙"
"08:00-21:00, 정시"
"09:00-18:00+(월요일휴관), 정시"
"정시(09:00-18:00)"
"08:00~00:00"
"08:00-20:00, 정시"
"9시~18시, 정시"
"09:00~16:00"
"09:00-23:00, 정시"
"(평일) 09:00~22:00 + (주말) 10:00~18:00, 정시"
"10:00~13:00, 정시"
"09:00~17:00, 정시"
"05:30~24:00"
"05:00-23:30, 정시"
"운영시간 내(월-금, 09:00-18:00), 정시"
"08:00~21:00"
"08:00~23:00"
"04:30~19:30, 정시"
"09:00∼18:00), 정시"
"09:00~19:00(평일11~2월),09:00~20:00(평일3~10월),09:00~18:00(주말), 정시"
"00:00~23:50, 정시"
"정시(09:00∼18:00), 정시"
"09~18시, 정시"
"09시~18시(동절기 변동 가능), 정시"
"9시-18시, 정시"
"06:00~21:00, 정시"
"09:00~00:00"
"(평일)09:00~16:00, 정시"
"(평일) 09:00-18:00+(주말) 09:00-17:00, 정시"
"00:00~00:00"
"개관시간, 정시"
"10:00~17:00"
"06:00~21:00"
"09:00~18:00 월요일및공휴일 미개방, 정시"
"07:00~22:00(토요일 17시까지,월요일및공휴일 미개방), 정시"
"06:00-22:00, 정시"
"12~22"
"09:00~16:00, 정시"
"09:00~23:00, 상시"
"08:00~18:00, 정시"
"상시, 정시"
"09:00~18:00(주중), 정시"
"(평일)05:30~12:54(주말/공휴일)05:30~11:55, 정시"
"15시간, 정시"
"05:00~00:20"
"04:00~23:00, 상시"
"09:00~22:00, 상시"
"07:30~19:00, 정시"
"(평일)10:00-20:00+(주말)10:00-17:00, 정시"
"상시"
"화~금(10시~18시), 주말(10시~17시), 정시"
"09:00~19:00, 정시"
"00:00-24:00, 정시"
"(평일)09:00~22:00+(주말)09:00~17:00, 정시"
"06:00~18:00+동절기폐쇄(11/20~익년3/15), 정시"
"05:00~23:50"
"05:00~24:00, 정시"
"(평일)09:00-20:00+(주말)09:00-18:00, 정시"
"연중무휴"
"08:00-18:00, 정시"
"10:00~19:00"
"09:30~18:00, 정시"
"09:00-18:00"
"정시(월~토), 정시"
"09~22"
"올림픽공원 개방 시간 내, 불규칙"
"공항운영시간, 불규칙"
"10:00~22:00, 정시"
"05~24"
"월-금07:00~21:00 토-일07:00~18:00 공휴일09:00~18:00, 정시"
"09:00~23:00"
"(하절기)06:00~20:00(동절기)07:00~19:00, 정시"
"09:00~14:00, 무휴, 정시"
"06~22, 정시"
"평일09-22시, 주말 09~22시(월요일 휴관), 정시"
"09~23시"
"정시(토,일개방), 정시"
"(평일)09:00-22:00+(주말)09:00-20:00+(월요일휴관), 정시"
"12:00~18:00+ 월요일, 일요일 휴무, 정시"
"00:00~24:00(1층)+06:00~23:00(2~4층), 정시"
"07:30~21:00, 정시"
"06:30-21:00, 정시"
"06:00-24:00, 정시"
"정시"
"05:00~24:00"
"08시~24시, 정시"
"9시-18시"
"07시~21시, 정시"
"10~22, 정시"
"(평일)08:00-23:00+(토,공휴일)09:00-23:00"
"10:00~20:00, 정시"
"07:30~19:00"
"15.5시간"
"09:30-17:00, 정시"
"07:00~22:00(평일),07:00~21:00(토,일),(2,4주화요일,법정공휴일미개방), 정시"
"10:00-22:00, 정시"
"06시~21시, 정시"
"06:00~24:00"
"평일(09:00∼18:00), 정시"
"06:00~22:00"
"(화-토)9:00~21:00+(일) 9:00~18:00, 정시"
"(평일)06:00-22:00+(주말)09:00-18:00, 정시"
"09:00~12:00 13:00~18:00, 정시"
"(평일)09:00-18:00, 정시"
"06:00~24:00, 정시"
"10:00~23:00, 상시"
"도서관 휴관일 외평일(09:00~22:00)토요일(09:00~18:00)일요일(09:00~17:00), 정시"
"08:30~22:00"
"09:00-02:00, 정시"
"08:00-22:00, 정시"
"04:00~24:00"
"05:00~18:00, 정시"
"화-토 : 10:00~21:00일 : 10:00~18:00, 정시"
"07:30~22:00, 정시"
"9:00~18:00, 정시"
"09:00 ∼18:00, 정시"
"(평일)08:00~19:00, 정시"
"(3월~10월)9:00-18:00, (11월~2월)9:00-17:00, 정시"
"06:00 ~ 22:00"
"07:00-24:00, 정시"
"05:00~익일01:00, 정시"
"화~금(9시~18시), 주말(9시~17시), 정시"
"평일(09:00~18:00), 정시"
"00:00~23:59, 정시"
"00:00-23:50, 정시"
"운영시간 내, 정시"
"(평일)08:30~18:00+(주말)08:30~16:00, 정시"
"14:00~18:00, 정시"
"09:00-17:00, 정시"
"(평일)06:00~22:00+(주말)09:00~18:00, 정시"
"12:00~18:00, 정시"
"05:00-23:00, 정시"
"근무시간(월~금, 09:00~18:00), 정시"
"08:30~19:00"
"정시(07:00∼24:00), 정시"
"13시간"
"09:00 ~ 18:00, 정시"
"10시~17시(월요일 휴관), 정시"
"09:30~19:30, 정시"
"05:00~익일1:00, 정시"
"06~22"
"(평일)09:00~18:30+(토요일)09:30~18:30, 정시"
"공연중 놀이방 이용시, 불규칙"
"10:30~20:00"
"정시(월~금,09:00~18:00), 정시"
"02:00~21:00, 정시"
"06:00~19:00, 정시"
"09:00~18:50, 정시"
"07~20"
"09:00~18:00(월요일미개방), 정시"
"08:00~17:00, 상시"
"정시(평일09:00∼18:00), 정시"
"08:00~19:30"
"09시~18시, 정시"
"24시간, 상시"
"05:00~02:00"
"공연장운영시, 불규칙"
"11:00~23:00, 상시"
"09:00~15:00"
"06:00~23:00, 상시"
"10:30~19:00, 정시"
"08:00~20:00 (휴관일제외), 정시"
"06:00-18:00, 정시"
"09:00~18:00(일,공휴일 제외), 정시"
"08:00~24:00, 정시"
"(평일)09:00~20:00+(휴일)09:00~20:00, 정시"
"09:00~18:00(시간제)+10:30~19:00(토요일) 10:00~18:00, 정시"
"07:00-01:00, 정시"
"(평일)09:00∼18:00, 정시"
"05:00 ~ 24:00, 정시"
"09:00~22:00"
"09:30~20:00, 정시"
"08:00~18:00"
"08~22, 정시"
"평일 09:00 ~ 18:00"
